material_id,composition,target
1,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': -0.75}",-1.8440233466024305
2,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': 0.0}",2.8494155995514525
3,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': 0.75}",0.5270870840494601
5,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': -1.5}",-4.2885623051928885
6,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': -0.75}",-3.455228374824981
7,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 0.0}",4.813998619532223
8,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 0.75}",5.399491997760775
9,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 1.5}",21.91262843315569
12,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 0.0}",5.788414495564265
13,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 0.75}",18.22240290561647
14,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 1.5}",28.74133940449466
15,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': -1.5}",4.949332267575013
16,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': -0.75}",10.820998094121714
17,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': 0.0}",19.31451087976356
20,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': -1.5}",6.002655848664817
21,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': -0.75}",11.352282247338753
22,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 0.0}",24.876371449596466
23,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 0.75}",36.15660301911514
24,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 1.5}",61.13175400485288
25,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': -1.5}",-1.3591212842594902
28,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': 0.75}",-8.1432817804031
29,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': 1.5}",-17.614899490945863
30,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': -1.5}",2.317168917542922
32,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 0.0}",2.367807933220911
33,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 0.75}",10.73434375407386
34,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 1.5}",-4.198608897251549
35,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': -1.5}",3.2020149698763545
37,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 0.0}",5.236704149911864
38,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 0.75}",9.197029819624149
39,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 1.5}",16.30183292608116
40,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': -1.5}",-3.2828760715526206
41,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': -0.75}",9.226131736784591
43,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': 0.75}",25.20753845893942
45,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': -1.5}",3.82785322823459
46,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': -0.75}",9.340213720369428
48,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': 0.75}",36.23725179324824
49,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': 1.5}",36.07026227778112
50,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': -1.5}",-0.8199299875458199
51,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': -0.75}",-1.497851008957718
52,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': 0.0}",-9.747521822138994
54,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': 1.5}",-27.00128265892922
55,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': -1.5}",-1.3499705736232936
57,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 0.0}",-1.753063104607977
58,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 0.75}",-5.128296732472704
59,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 1.5}",-28.36063816418334
60,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': -1.5}",1.7652365433699524
61,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': -0.75}",-4.0022131532682526
62,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 0.0}",2.1803421639456038
63,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 0.75}",-7.655526366377102
64,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 1.5}",4.019726322215567
65,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': -1.5}",-2.03530789272629
66,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': -0.75}",2.763976765823506
67,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 0.0}",9.256264908587475
68,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 0.75}",17.52038720651963
69,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 1.5}",22.524538454027187
70,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': -1.5}",4.084527248012004
71,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': -0.75}",11.835579488808955
72,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 0.0}",18.941040158644213
73,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 0.75}",22.41400068790641
74,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 1.5}",35.77227711429969
75,"{'u_phi': 1.625, 'u_chi': 0.5, 'u_phichi': -1.5}",-5.209119787271321
79,"{'u_phi': 1.625, 'u_chi': 0.5, 'u_phichi': 1.5}",-49.27885517218522
80,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': -1.5}",-0.925076761498922
81,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': -0.75}",-1.9760436280854776
82,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 0.0}",-9.562884198690313
83,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 0.75}",-20.162073752814933
84,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 1.5}",-33.46541331451994
85,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': -1.5}",3.213768136544848
86,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': -0.75}",-2.634971987162771
87,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 0.0}",-10.402830008520308
88,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 0.75}",-11.306905858628442
89,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 1.5}",-25.112577370358284
90,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': -1.5}",-2.32189668667494
92,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': 0.0}",-1.8745043446705243
94,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': 1.5}",1.7115469073404443
95,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': -1.5}",-1.3653675143491917
97,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 0.0}",9.996863016576002
98,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 0.75}",12.11316309186632
99,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 1.5}",6.359892804084599
100,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': -1.5}",-10.315553002584366
102,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 0.0}",-24.630877350633888
103,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 0.75}",-41.15454597442919
104,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 1.5}",-50.02715250176746
105,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': -1.5}",-8.005691842491181
106,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': -0.75}",-8.87973160898895
107,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 0.0}",-21.130453753951628
108,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 0.75}",-39.13913509539125
109,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 1.5}",-47.44039127181412
110,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': -1.5}",-4.874122105041345
111,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': -0.75}",-8.558248787086253
112,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': 0.0}",-20.952057105276943
113,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': 0.75}",-24.24355400622075
115,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': -1.5}",-6.854088033177474
117,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 0.0}",-9.94067776446857
118,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 0.75}",-10.58184914695381
119,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 1.5}",-20.52694653987394
120,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': -1.5}",2.1269497138916127
121,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': -0.75}",-4.4187082326205935
122,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': 0.0}",-0.2868790359262907
124,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': 1.5}",3.474841780222393
