material_id,composition,target
1,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': -0.75}",-65.96658782951579
2,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': 0.0}",-71.472093558435
3,"{'u_phi': 0.5, 'u_chi': 0.5, 'u_phichi': 0.75}",-77.54440797695949
5,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': -1.5}",-35.78069428620044
6,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': -0.75}",-64.93539669225534
7,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 0.0}",-68.99046629944284
8,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 0.75}",-65.95278208955392
9,"{'u_phi': 0.5, 'u_chi': 0.875, 'u_phichi': 1.5}",-66.38924659464575
12,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 0.0}",-64.22444581805108
13,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 0.75}",-60.670583654303165
14,"{'u_phi': 0.5, 'u_chi': 1.25, 'u_phichi': 1.5}",-59.69803252552794
15,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': -1.5}",-49.12536598439679
16,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': -0.75}",-51.79725228303891
17,"{'u_phi': 0.5, 'u_chi': 1.625, 'u_phichi': 0.0}",-51.0152420233864
20,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': -1.5}",-40.13241481313407
21,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': -0.75}",-40.68386902893942
22,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 0.0}",-42.28533633689967
23,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 0.75}",-41.15374627054686
24,"{'u_phi': 0.5, 'u_chi': 2.0, 'u_phichi': 1.5}",-41.3628101295358
25,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': -1.5}",-40.27230715867076
28,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': 0.75}",-70.82040986315354
29,"{'u_phi': 0.875, 'u_chi': 0.5, 'u_phichi': 1.5}",-69.2771909866263
30,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': -1.5}",-43.19943839694426
32,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 0.0}",-61.72908964702083
33,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 0.75}",-65.56174225815886
34,"{'u_phi': 0.875, 'u_chi': 0.875, 'u_phichi': 1.5}",-67.0945690033108
35,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': -1.5}",-44.959269129073874
37,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 0.0}",-57.6208354686408
38,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 0.75}",-60.85152819676587
39,"{'u_phi': 0.875, 'u_chi': 1.25, 'u_phichi': 1.5}",-61.017104115846685
40,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': -1.5}",-49.62256686180983
41,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': -0.75}",-51.93843822407437
43,"{'u_phi': 0.875, 'u_chi': 1.625, 'u_phichi': 0.75}",-52.22232402795881
45,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': -1.5}",-41.17121545132967
46,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': -0.75}",-41.3136530040793
48,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': 0.75}",-40.28454967843143
49,"{'u_phi': 0.875, 'u_chi': 2.0, 'u_phichi': 1.5}",-42.73459924428579
50,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': -1.5}",-48.69857683578849
51,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': -0.75}",-66.65919743972182
52,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': 0.0}",-70.89351235565525
54,"{'u_phi': 1.25, 'u_chi': 0.5, 'u_phichi': 1.5}",-72.19166762570256
55,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': -1.5}",-48.483344247726464
57,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 0.0}",-65.69332417406088
58,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 0.75}",-64.44992895749878
59,"{'u_phi': 1.25, 'u_chi': 0.875, 'u_phichi': 1.5}",-64.79274299921633
60,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': -1.5}",-48.485901744412175
61,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': -0.75}",-58.301152650365786
62,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 0.0}",-60.523103446847294
63,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 0.75}",-58.91232789014838
64,"{'u_phi': 1.25, 'u_chi': 1.25, 'u_phichi': 1.5}",-61.48790519326342
65,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': -1.5}",-48.105961775908064
66,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': -0.75}",-52.66928919238708
67,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 0.0}",-50.699437198748576
68,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 0.75}",-50.98569169332848
69,"{'u_phi': 1.25, 'u_chi': 1.625, 'u_phichi': 1.5}",-51.11546063541286
70,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': -1.5}",-42.10350760847531
71,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': -0.75}",-42.14513546556859
72,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 0.0}",-42.51311001889149
73,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 0.75}",-41.81733383778099
74,"{'u_phi': 1.25, 'u_chi': 2.0, 'u_phichi': 1.5}",-41.18381470634361
75,"{'u_phi': 1.625, 'u_chi': 0.5, 'u_phichi': -1.5}",-54.520241417023584
79,"{'u_phi': 1.625, 'u_chi': 0.5, 'u_phichi': 1.5}",-66.56934546394196
80,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': -1.5}",-51.97074137315062
81,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': -0.75}",-62.75232137364868
82,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 0.0}",-60.97454973101115
83,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 0.75}",-68.57804710409422
84,"{'u_phi': 1.625, 'u_chi': 0.875, 'u_phichi': 1.5}",-64.19657083693376
85,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': -1.5}",-54.62819866172264
86,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': -0.75}",-59.3192310132787
87,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 0.0}",-59.6330491120847
88,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 0.75}",-59.82014422665556
89,"{'u_phi': 1.625, 'u_chi': 1.25, 'u_phichi': 1.5}",-59.66089902595032
90,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': -1.5}",-50.66441820280168
92,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': 0.0}",-53.06405948414798
94,"{'u_phi': 1.625, 'u_chi': 1.625, 'u_phichi': 1.5}",-51.24442998420167
95,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': -1.5}",-41.55209944805775
97,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 0.0}",-41.42708818609217
98,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 0.75}",-42.07845611179389
99,"{'u_phi': 1.625, 'u_chi': 2.0, 'u_phichi': 1.5}",-41.35665528371428
100,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': -1.5}",-60.0236913392836
102,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 0.0}",-66.14495572224342
103,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 0.75}",-68.28453359310818
104,"{'u_phi': 2.0, 'u_chi': 0.5, 'u_phichi': 1.5}",-68.93968468182072
105,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': -1.5}",-55.01429976948769
106,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': -0.75}",-69.30213953744794
107,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 0.0}",-64.31126170411642
108,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 0.75}",-62.84172486187478
109,"{'u_phi': 2.0, 'u_chi': 0.875, 'u_phichi': 1.5}",-64.52043335650097
110,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': -1.5}",-54.00787159820843
111,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': -0.75}",-58.43997787968591
112,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': 0.0}",-59.1292219014111
113,"{'u_phi': 2.0, 'u_chi': 1.25, 'u_phichi': 0.75}",-58.30671587761982
115,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': -1.5}",-51.794288490638266
117,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 0.0}",-52.05664424086935
118,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 0.75}",-50.10913374092696
119,"{'u_phi': 2.0, 'u_chi': 1.625, 'u_phichi': 1.5}",-50.678501502245446
120,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': -1.5}",-42.79274029094727
121,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': -0.75}",-43.46705716752757
122,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': 0.0}",-42.50292355934567
124,"{'u_phi': 2.0, 'u_chi': 2.0, 'u_phichi': 1.5}",-42.12573410040591
