material_id,composition,target
0,"{'W': 10.00002869895108, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.05000143494755376, 'Hf': 2.00005739790215, 'Ta': 2.999971301048925, 'N': 0.09999856505244625}",594.9979910734247
1,"{'W': 10.0, 'Mo': 2.992711402832246, 'Zr': 0.002429532389251484, 'C': 0.05012147661946258, 'Hf': 1.995140935221497, 'Ta': 2.992711402832246, 'N': 0.09975704676107486}",594.4533552124185
2,"{'W': 10.14243052373646, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.05427291571209372, 'Hf': 2.427291571209371, 'Ta': 3.142430523736457, 'N': 0.0857569476263543}",586.5253838376808
3,"{'W': 10.28016239368546, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.06400811968427288, 'Hf': 2.840487181056372, 'Ta': 2.719837606314543, 'N': 0.08599188031572713}",580.9918803157271
4,"{'W': 10.22157032985251, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.0566471098955753, 'Hf': 2.0, 'Ta': 2.77842967014749, 'N': 0.07784296701474903}",575.2802406431266
5,"{'W': 10.23866255864364, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.05715987675930927, 'Hf': 2.0, 'Ta': 2.761337441356357, 'N': 0.07613374413563577}",573.7590322807158
6,"{'W': 9.770377334002577, 'Mo': 3.0, 'Zr': 0.06888679979922707, 'C': 0.05688867997992271, 'Hf': 1.885188667001288, 'Ta': 3.0, 'N': 0.07703773340025764}",561.4750907643761
7,"{'W': 10.69317444246718, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.08465872212335918, 'Hf': 4.07952332740155, 'Ta': 2.306825557532817, 'N': 0.06534127787664083}",560.3412778766408
8,"{'W': 10.66480455392443, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.06994413661773292, 'Hf': 3.994413661773292, 'Ta': 3.66480455392443, 'N': 0.03351954460755694}",555.4441290414964
9,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09992459944191871, 'Hf': 5.0, 'Ta': 2.007540055808129, 'N': 0.04981149860479678}",544.9641847349113
10,"{'W': 10.94452279013291, 'Mo': 3.0, 'Zr': 0.008321581480062889, 'C': 0.09944522790132915, 'Hf': 4.9029148827326, 'Ta': 2.027738604933543, 'N': 0.04861306975332286}",542.3370939263799
11,"{'W': 10.99894356593331, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.07996830697799936, 'Hf': 4.996830697799936, 'Ta': 3.998943565933312, 'N': 0.0001056434066687761}",535.562857826968
12,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.08306494828861613, 'Hf': 4.846752585569194, 'Ta': 3.693505171138387, 'N': 0.007662370721540324}",533.8909021484765
13,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09698235839288984, 'Hf': 4.150882080355508, 'Ta': 2.301764160711016, 'N': 0.04245589598222459}",526.5842618437329
14,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09794630189506712, 'Hf': 4.102684905246645, 'Ta': 2.20536981049329, 'N': 0.04486575473766777}",526.0781915050898
15,"{'W': 10.99083453286717, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09954172664335843, 'Hf': 3.981669065734337, 'Ta': 2.009165467132832, 'N': 0.05045827335664158}",525.6415826992982
16,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09999999999999999, 'Hf': 4.029777190361635, 'Ta': 2.0, 'N': 0.05}",525.5955438072327
17,"{'W': 10.99995757510603, 'Mo': 3.0, 'Zr': 6.363734095880767e-06, 'C': 0.09999957575106028, 'Hf': 3.999946968882534, 'Ta': 2.000021212446986, 'N': 0.04999893937765069}",524.998387854029
18,"{'W': 7.995053530030601, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05012366174923497, 'Hf': 6.995053530030601, 'Ta': 5.002473234984699, 'N': 0.1995053530030601}",524.8095609061781
19,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09972360945594502, 'Hf': 3.972360945594502, 'Ta': 2.0, 'N': 0.04930902363986257}",524.7374289831477
20,"{'W': 7.969652026519864, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05, 'Hf': 7.0, 'Ta': 5.0, 'N': 0.2015173986740068}",524.2868226232168
21,"{'W': 7.95322006492173, 'Mo': 2.0, 'Zr': 1.023389967539135, 'C': 0.05116949837695676, 'Hf': 7.0, 'Ta': 5.0, 'N': 0.195322006492173}",522.6376132785474
22,"{'W': 7.934224291505579, 'Mo': 2.0, 'Zr': 1.03288785424721, 'C': 0.05164439271236053, 'Hf': 7.0, 'Ta': 5.0, 'N': 0.1934224291505579}",521.6783267210318
23,"{'W': 7.902717141309342, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05243207146726647, 'Hf': 6.902717141309341, 'Ta': 5.048641429345329, 'N': 0.1902717141309342}",521.2546099404096
24,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.09531968686611042, 'Hf': 3.531968686611041, 'Ta': 2.0, 'N': 0.03829921716527604}",520.5537025228049
25,"{'W': 10.85225349872544, 'Mo': 2.556760496176313, 'Zr': 0.1477465012745622, 'C': 0.1, 'Hf': 4.261267493627189, 'Ta': 1.704506997450876, 'N': 0.04261267493627189}",519.1443622769516
26,"{'W': 10.89495927503317, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.07684877825099513, 'Hf': 2.0, 'Ta': 2.105040724966829, 'N': 0.01050407249668289}",515.3486245220478
27,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05131140238874796, 'Hf': 3.0, 'Ta': 5.02622804777496, 'N': 0.1947543904450082}",508.429651318054
28,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.08109352649138099, 'Hf': 2.16402897370715, 'Ta': 2.0, 'N': 0.002733816228452496}",508.132376658193
29,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05180129063906775, 'Hf': 3.0, 'Ta': 5.036025812781355, 'N': 0.192794837443729}",507.4694703474272
30,"{'W': 11.0, 'Mo': 3.0, 'Zr': 0.0, 'C': 0.08040790122654236, 'Hf': 2.061185183981352, 'Ta': 2.0, 'N': 0.001019753066355861}",506.7954073917576
31,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05, 'Hf': 2.015271838102624, 'Ta': 5.656485441264918, 'N': 0.2}",504.4351455873508
32,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05, 'Hf': 1.5, 'Ta': 6.0, 'N': 0.1999999999998477}",500.9999999999025
33,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05, 'Hf': 1.5, 'Ta': 6.0, 'N': 0.1999914497301513}",500.9907657085634
34,"{'W': 10.76893975647592, 'Mo': 3.0, 'Zr': 0.03465903652861222, 'C': 0.07999999999999999, 'Hf': 1.942234939118979, 'Ta': 2.115530121762041, 'N': 0.0}",499.4147830595637
35,"{'W': 7.774507086129253, 'Mo': 2.0, 'Zr': 0.7745070861292528, 'C': 0.06127464569353737, 'Hf': 6.774507086129253, 'Ta': 4.774507086129253, 'N': 0.1774507086129253}",498.8428219909933
36,"{'W': 5.999999999999999, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.05260869146102026, 'Hf': 1.5, 'Ta': 6.10434765844081, 'N': 0.2}",497.4521796130124
37,"{'W': 7.731824316474428, 'Mo': 2.0, 'Zr': 0.7318243164744278, 'C': 0.06340878417627861, 'Hf': 6.731824316474428, 'Ta': 4.731824316474428, 'N': 0.1731824316474428}",493.8916207110336
38,"{'W': 10.08926053317982, 'Mo': 3.0, 'Zr': 0.1366109200230266, 'C': 0.09089260533179824, 'Hf': 2.861575666474778, 'Ta': 2.455369733410088, 'N': 0.02723151332949557}",490.3919002608333
39,"{'W': 6.0, 'Mo': 2.0, 'Zr': 1.0, 'C': 0.06218881794350224, 'Hf': 3.0, 'Ta': 5.243776358870044, 'N': 0.1512447282259911}",487.1099168307356
