material_id,composition,target
0,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': -1.5707963267948966}",-2.121320343559643
1,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': -1.2217304763960306}",-1.7207293090531384
2,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': -0.8726646259971648}",-1.2678547852220985
3,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': -0.5235987755982989}",-0.7764571353075626
4,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': -0.17453292519943298}",-0.2614672282429746
5,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': 0.17453292519943298}",0.2614672282429746
6,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': 0.5235987755982987}",0.7764571353075622
7,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': 0.8726646259971647}",1.2678547852220983
8,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': 1.2217304763960306}",1.7207293090531384
9,"{'Al': -1.5707963267948966, 'Cr': -1.5707963267948966, 'Mo': 1.5707963267948966}",2.121320343559643
10,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': -1.5707963267948966}",-1.7207293090531386
11,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': -1.2217304763960306}",-1.3957860556157167
12,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': -0.8726646259971648}",-1.0284325491802355
13,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': -0.5235987755982989}",-0.6298306401498932
14,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': -0.17453292519943298}",-0.21209164582827805
15,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': 0.17453292519943298}",0.21209164582827805
16,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': 0.5235987755982987}",0.6298306401498929
17,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': 0.8726646259971647}",1.0284325491802355
18,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': 1.2217304763960306}",1.3957860556157167
19,"{'Al': -1.5707963267948966, 'Cr': -1.2217304763960306, 'Mo': 1.5707963267948966}",1.7207293090531386
20,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': -1.5707963267948966}",-1.2678547852220985
21,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': -1.2217304763960306}",-1.0284325491802355
22,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': -0.8726646259971648}",-0.7577619105435116
23,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': -0.5235987755982989}",-0.46406705970095136
24,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': -0.17453292519943298}",-0.15627176607864054
25,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': 0.17453292519943298}",0.15627176607864054
26,"{'Al': -1.5707963267948966, 'Cr': -0.8726646259971648, 'Mo': 0.5235987755982987}",0.4640670597009512
