material_id,composition,target
0,"{'Al': -1.4775684095589756, 'Cr': 1.4110321676018098, 'Mo': 0.06702918379108858}",5.680863421595176
1,"{'Al': -0.800609381614815, 'Cr': 0.4811985220973054, 'Mo': -1.1183236940700843}",0.7130266751062535
2,"{'Al': -0.3420504053347033, 'Cr': -0.37492246881420255, 'Mo': 1.1824353281811018}",0.4522425720633157
3,"{'Al': -1.0946022668184416, 'Cr': 0.6355074312438185, 'Mo': 0.35844816875883834}",1.280493132665081
4,"{'Al': -1.2086466578716322, 'Cr': 1.3266182227487304, 'Mo': 0.8383336187756054}",4.000856101921881
5,"{'Al': -0.9054013093196233, 'Cr': 0.31043221536454246, 'Mo': 1.3238992522941242}",-1.7574358216317223
6,"{'Al': 0.5204092916535332, 'Cr': -0.383888091778132, 'Mo': 1.091941751341388}",1.5777385428910118
7,"{'Al': 0.005964553788281313, 'Cr': -0.8732688566540591, 'Mo': -0.29933293136941375}",4.119802518363489
8,"{'Al': -0.38508696755608396, 'Cr': -0.3493719100825279, 'Mo': 0.8447604143961356}",0.4852675378890688
9,"{'Al': 0.4914702668018034, 'Cr': -0.7800916259180329, 'Mo': 0.7473371886496771}",3.670732099560214
11,"{'Al': -1.037094621937357, 'Cr': 1.123810880826996, 'Mo': -0.27103841514288307}",5.18563724506476
12,"{'Al': -1.2688724334883466, 'Cr': -1.186412146866132, 'Mo': 1.5681156235778069}",4.514193194938089
13,"{'Al': 0.2878100841825455, 'Cr': 0.7308282797363486, 'Mo': 1.1359055269480947}",3.9145563017484495
14,"{'Al': -1.3619714136828178, 'Cr': 0.9875154584358561, 'Mo': 0.5973775730553954}",2.958025122747989
15,"{'Al': 1.5703337390174963, 'Cr': 0.35195537407993993, 'Mo': 0.12541597442879904}",1.9095739558288112
16,"{'Al': -0.059807773550444976, 'Cr': 1.0243983173773183, 'Mo': 1.250671309956446}",4.891345333133151
17,"{'Al': -0.36104465959612764, 'Cr': -0.6190850597242672, 'Mo': 0.5598957767454893}",2.1376684323315662
18,"{'Al': -0.45137076320991265, 'Cr': -0.09902091454580342, 'Mo': 1.5112396979456157}",-1.4294413629427134
19,"{'Al': 1.5531881603351496, 'Cr': 1.3043890987441236, 'Mo': -0.998093522071013}",5.975022402664352
20,"{'Al': -1.094572359191406, 'Cr': -1.503167781030129, 'Mo': -1.1574106076608899}",3.3385502016273527
21,"{'Al': 0.6386496377843698, 'Cr': -0.3423440833146987, 'Mo': 0.3159870678127168}",1.3037929779906337
22,"{'Al': -1.3328610272297057, 'Cr': -1.300384520272067, 'Mo': -0.4928348472432651}",4.587186800503395
24,"{'Al': 1.213544870523163, 'Cr': -0.5806868187359677, 'Mo': 1.4399361846091665}",3.9810314174005255
26,"{'Al': 0.3819569027253815, 'Cr': -0.3479445895158073, 'Mo': -0.3361494953917885}",1.2438874514329454
27,"{'Al': 1.3244093931181036, 'Cr': 1.438834851897497, 'Mo': 0.0038880713645539355}",7.856485499466944
28,"{'Al': -0.7023717535314762, 'Cr': 0.36398586415012835, 'Mo': 1.1300093056705962}",-0.6189201282433054
29,"{'Al': 0.9212788698105019, 'Cr': 0.607177450498964, 'Mo': 0.8125313712604467}",3.773789371454652
31,"{'Al': 1.0330610500220323, 'Cr': 1.06762821472241, 'Mo': 0.18118885171198928}",6.459035607888547
32,"{'Al': -0.6627315743238545, 'Cr': 0.800666223130881, 'Mo': 0.4315816312684855}",2.709429070217641
33,"{'Al': -0.5019941693725749, 'Cr': 0.6023587941527913, 'Mo': 0.15487453846811294}",1.7088409601992467
34,"{'Al': -0.7198248281586781, 'Cr': -1.5497966705370858, 'Mo': 0.42223787150032943}",6.843543481819314
35,"{'Al': 0.3204541899266866, 'Cr': -0.44925463330675175, 'Mo': -0.508824808834555}",1.7352736483594609
36,"{'Al': 1.0273891590829027, 'Cr': 1.264281260823679, 'Mo': -0.8894737734428587}",6.237356248028004
37,"{'Al': -1.300441323012031, 'Cr': -1.011588592320236, 'Mo': 0.8307086115735993}",5.020252657369215
38,"{'Al': -1.4999691673599382, 'Cr': -0.5776117416077902, 'Mo': -1.1261369112824005}",-0.7488704383165212
40,"{'Al': -0.5250293678214046, 'Cr': 0.833144800257763, 'Mo': 1.3604766412829985}",1.8134452708278967
